127.0.0.1 - - [01/Nov/2024:10:47:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:47:34 +0530] "GET /DemoMavProj/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:47:34 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:47:53 +0530] "GET /DemoMavProj/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:06 +0530] "GET /DemoMavProj/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:12 +0530] "GET /DemoMavProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:12 +0530] "GET /DemoMavProj/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:17 +0530] "GET /DemoMavProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:17 +0530] "GET /DemoMavProj/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:26 +0530] "GET /DemoMavPro HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:29 +0530] "GET /DemoMavProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:29 +0530] "GET /DemoMavProj/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:53 +0530] "GET /DemoMavProj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Nov/2024:10:48:53 +0530] "GET /DemoMavProj/ HTTP/1.1" 200 57
